,site,id,func_run,max_relative_motion,num_movements,func_overlap_with_90,func_overlap_with_std,func_mean_zcor,func_std_zcor,anat_mean_zcor,anat_percent_voxs,anat_std_zcor
73,Berlin,Berlin_0003017,1,0.251356360572,0,99.4659339384,249.57361936,,,-0.0799971335428,0.601162766098,-1.37777112573
74,Berlin,Berlin_0003017,2,0.236160030488,0,99.4949592678,249.57361936,,,-0.0799971335428,0.601162766098,-1.37777112573
75,Berlin,Berlin_0003018,1,0.519762888248,0,99.7271619033,257.641240434,,,0.131588458159,0.140309242268,-0.127366363708
76,Berlin,Berlin_0003018,2,0.450165491792,0,99.7755374524,257.641240434,,,0.131588458159,0.140309242268,-0.127366363708
77,Berlin,Berlin_0003020,1,0.855443072332,0,99.8703535285,223.465251308,,,-0.0175971587812,-0.0264295086765,-0.284614876556
78,Berlin,Berlin_0003020,2,0.432015150197,0,99.8897037481,223.465251308,,,-0.0175971587812,-0.0264295086765,-0.284614876556
79,Berlin,Berlin_0003021,1,0.724589400971,0,99.9303392094,243.057101912,,,0.488288818385,-0.136998972167,0.0319811023328
80,Berlin,Berlin_0003021,2,0.383805888438,0,99.8703535285,243.057101912,,,0.488288818385,-0.136998972167,0.0319811023328
81,Berlin,Berlin_0003022,1,0.47968165485,0,99.7020066178,267.917915078,,,-0.338056935005,0.793995910426,-0.738800836942
82,Berlin,Berlin_0003022,2,0.394713491029,0,99.6439559589,267.917915078,,,-0.338056935005,0.793995910426,-0.738800836942
83,Berlin,Berlin_0003023,1,0.376566594376,0,99.8935737921,247.2910203,,,0.861961536925,-0.755745689863,0.719074885953
84,Berlin,Berlin_0003023,2,0.545118060607,0,99.9109889897,247.2910203,,,0.861961536925,-0.755745689863,0.719074885953
85,Berlin,Berlin_0003024,1,0.287537145426,0,99.5394647729,269.024657979,,,-1.80277688112,2.67367678977,-1.66559927832
86,Berlin,Berlin_0003024,2,0.178617636307,0,99.5259196192,269.024657979,,,-1.80277688112,2.67367678977,-1.66559927832
87,Berlin,Berlin_0003025,1,0.342897360736,0,99.7774724743,290.805055698,,,0.305273205253,0.119964460985,-0.63935360275
88,Berlin,Berlin_0003025,2,0.28686535169,0,99.7774724743,290.805055698,,,0.305273205253,0.119964460985,-0.63935360275
89,Berlin,Berlin_0003026,1,0.336771732781,0,99.5317246851,234.112475253,,,0.786317289891,-0.151151863494,0.854712351839
90,Berlin,Berlin_0003026,2,0.246516632299,0,99.5781652122,234.112475253,,,0.786317289891,-0.151151863494,0.854712351839
91,Berlin,Berlin_0003032,1,0.383794228722,0,99.6594361346,279.175560677,,,0.342791850898,-0.838451648554,-0.539305551515
92,Berlin,Berlin_0003032,2,0.556352765788,0,99.740707057,279.175560677,,,0.342791850898,-0.838451648554,-0.539305551515
93,Berlin,Berlin_0003033,1,0.333330856657,0,99.9458193851,225.099592235,,,-0.224115365614,0.317662661707,-1.56140708405
94,Berlin,Berlin_0003033,2,0.205888732086,0,99.9322742313,225.099592235,,,-0.224115365614,0.317662661707,-1.56140708405
95,Berlin,Berlin_0003034,1,0.462561649945,0,99.3246773351,360.855154685,,,-0.264628877904,0.363217280665,-0.918207832368
96,Berlin,Berlin_0003034,2,0.847394182184,0,99.3614427524,360.855154685,,,-0.264628877904,0.363217280665,-0.918207832368
97,Berlin,Berlin_0003036,1,0.344724962833,0,99.8916387701,222.595529356,,,-0.40654684443,1.08059195979,-0.827230530765
98,Berlin,Berlin_0003036,2,0.223126175067,0,99.8935737921,222.595529356,,,-0.40654684443,1.08059195979,-0.827230530765
99,Berlin,Berlin_0003037,1,0.349944924238,0,99.8219779795,233.070502024,,,-0.69631715799,0.741807123658,-0.769453177996
100,Berlin,Berlin_0003037,2,0.227739149028,0,99.8742235724,233.070502024,,,-0.69631715799,0.741807123658,-0.769453177996
101,Berlin,Berlin_0003038,1,0.447698615142,0,99.9129240117,247.788641669,,,-0.226417446023,0.667062166338,-1.05236180437
102,Berlin,Berlin_0003038,2,0.896651548819,0,99.949689429,247.788641669,,,-0.226417446023,0.667062166338,-1.05236180437
103,Berlin,Berlin_0003039,1,0.344730169843,0,99.8548733528,241.48549183,,,0.504341538733,-0.235184655747,-0.574352712101
104,Berlin,Berlin_0003039,2,0.287225799677,0,99.9167940556,241.48549183,,,0.504341538733,-0.235184655747,-0.574352712101
105,Berlin,Berlin_0003040,1,0.687459817008,0,99.8780936164,259.843187661,,,-0.521000742955,0.324296829517,-1.20050899892
106,Berlin,Berlin_0003040,2,0.283236950273,0,99.8800286383,259.843187661,,,-0.521000742955,0.324296829517,-1.20050899892
107,Berlin,Berlin_0003041,1,0.440503915987,0,99.6149306295,271.131711137,,,0.314667554821,-1.08524269107,-0.202052880137
108,Berlin,Berlin_0003041,2,0.20043836958,0,99.5839702781,271.131711137,,,0.314667554821,-1.08524269107,-0.202052880137
109,Berlin,Berlin_0003042,1,0.357180766559,0,99.8026277598,205.535073723,,,-0.87488044389,0.468479409909,-0.704921101843
110,Berlin,Berlin_0003042,2,0.316654022555,0,99.7871475841,205.535073723,,,-0.87488044389,0.468479409909,-0.704921101843
111,Berlin,Berlin_0003044,1,0.428329312562,0,99.9206640995,242.729574801,,,0.0514159704593,0.219476978127,-0.963483174141
112,Berlin,Berlin_0003044,2,1.15812748866,1,99.9013138799,242.729574801,,,0.0514159704593,0.219476978127,-0.963483174141
113,Berlin,Berlin_0003045,1,0.203664675386,0,99.5801002341,248.512661407,,,0.451898204749,-0.911869772312,0.41825246186
114,Berlin,Berlin_0003045,2,0.167095182456,0,99.6555660907,248.512661407,,,0.451898204749,-0.911869772312,0.41825246186
115,Berlin,Berlin_0003047,1,0.372417735883,0,99.845198243,221.503796945,,,0.0516161477582,-0.126384303672,-1.189696241
116,Berlin,Berlin_0003047,2,0.611546245185,0,99.8374581552,221.503796945,,,0.0516161477582,-0.126384303672,-1.189696241
117,Berlin,Berlin_0003049,1,0.681931792777,0,99.6942665299,218.596637414,,,0.0751758965692,0.344199332945,-0.324875296814
118,Berlin,Berlin_0003049,2,0.53592331541,0,99.6323458271,218.596637414,,,0.0751758965692,0.344199332945,-0.324875296814
119,Berlin,Berlin_0003050,1,0.609087070951,0,99.7252268813,256.107215672,,,0.593909613931,-0.18078447971,0.657254121129
120,Berlin,Berlin_0003050,2,0.175704126303,0,99.7542522108,256.107215672,,,0.593909613931,-0.18078447971,0.657254121129
121,Berlin,Berlin_0003051,1,0.218168856623,0,99.9690396486,270.108870372,,,-0.215222799085,1.37293762126,-1.56722616153
122,Berlin,Berlin_0003051,2,0.468059024056,0,99.9380792972,270.108870372,,,-0.215222799085,1.37293762126,-1.56722616153
123,Berlin,Berlin_0003052,1,0.128816924354,0,99.6671762225,263.042859676,,,0.717448376553,-0.186091813957,0.233374620988
124,Berlin,Berlin_0003052,2,0.177916637783,0,99.6362158711,263.042859676,,,0.717448376553,-0.186091813957,0.233374620988
125,Berlin,Berlin_0003054,1,0.586957460128,0,99.6168656514,247.732958071,,,-0.44082608443,1.04742112075,-0.723165331909
126,Berlin,Berlin_0003054,2,0.420311907992,0,99.5994504538,247.732958071,,,-0.44082608443,1.04742112075,-0.723165331909
127,Berlin,Berlin_0003055,1,1.25371897968,4,99.947754407,195.294964985,,,-0.737821712612,1.70818423457,-1.89177762209
128,Berlin,Berlin_0003055,2,0.332676178889,0,99.9709746706,195.294964985,,,-0.737821712612,1.70818423457,-1.89177762209
129,Berlin,Berlin_0003056,1,0.802187665076,0,99.79295265,253.716470171,,,-0.580423739937,0.879797814095,-0.974319328367
130,Berlin,Berlin_0003056,2,0.987863214215,0,99.7890826061,253.716470171,,,-0.580423739937,0.879797814095,-0.974319328367
131,Berlin,Berlin_0003057,1,0.646833146955,0,99.8355231332,260.644830541,,,0.074542266212,0.900142595377,-1.04602806955
132,Berlin,Berlin_0003057,2,0.421799241346,0,99.8529383309,260.644830541,,,0.074542266212,0.900142595377,-1.04602806955
133,Berlin,Berlin_0003059,1,0.229278106238,0,99.4252984771,223.048222675,,,0.236505888269,-1.14760386847,-0.610857207727
134,Berlin,Berlin_0003059,2,0.153308186344,0,99.5065693996,223.048222675,,,0.236505888269,-1.14760386847,-0.610857207727
135,Berlin,Berlin_0003060,1,0.391600574565,0,99.8297180673,270.351446385,,,0.779889154059,-0.270566884064,-0.401891166055
136,Berlin,Berlin_0003060,2,0.143870532077,0,99.8123028696,270.351446385,,,0.779889154059,-0.270566884064,-0.401891166055
137,Berlin,Berlin_0003061,1,0.22648313403,0,99.8548733528,216.297949354,,,0.582244310835,-0.104712688828,-0.516908682012
138,Berlin,Berlin_0003061,2,0.277278379972,0,99.8819636603,216.297949354,,,0.582244310835,-0.104712688828,-0.516908682012
139,Berlin,Berlin_0003062,1,0.636096675042,0,99.6652412005,289.465325178,,,-0.843523892454,1.53171537084,-1.7568690195
140,Berlin,Berlin_0003062,2,0.240898505599,0,99.7871475841,289.465325178,,,-0.843523892454,1.53171537084,-1.7568690195
141,Berlin,Berlin_0003063,1,0.135937412069,0,99.9225991215,239.152882428,,,0.334930733726,0.325181385225,-0.0080099205832
142,Berlin,Berlin_0003063,2,0.184206867407,0,99.8877687262,239.152882428,,,0.334930733726,0.325181385225,-0.0080099205832
143,Berlin,Berlin_0003064,1,0.402502422353,0,99.690396486,236.843453595,,,0.573864755412,-0.462515472685,-0.51847252322
144,Berlin,Berlin_0003064,2,0.368411794057,0,99.7058766617,236.843453595,,,0.573864755412,-0.462515472685,-0.51847252322
145,QuironValencia,QuironValencia_0020001,1,0.521941040732,0,98.9879835136,1111.44885365,,,0.793130182816,-2.85302727336,-0.43480675633
146,QuironValencia,QuironValencia_0020002,1,0.232001228445,0,98.6183943188,1047.48180629,,,0.432915749689,-3.53944250271,-1.36202959388
147,QuironValencia,QuironValencia_0020004,1,1.06235550076,1,98.144313938,1233.62297109,,,0.479455089998,-1.4461414199,-1.79200724297
148,QuironValencia,QuironValencia_0020008,1,0.351403357981,0,98.8002863833,945.98719879,,,0.654995939646,-3.17500555104,-0.263173839871
149,QuironValencia,QuironValencia_0020009,1,0.169983675687,0,98.9550881403,987.891882926,,,-0.088183013863,-3.47265854676,-2.19617906213
150,QuironValencia,QuironValencia_0020010,1,0.614492392142,0,98.3378161342,911.548795859,,,0.232823473926,-4.14182493981,-1.23894080476
151,QuironValencia,QuironValencia_0020011,1,0.132929492589,0,99.0324890188,1107.22461352,,,0.524588793401,-1.68762512816,-2.0266972915
152,QuironValencia,QuironValencia_0020012,1,0.301907618321,0,99.5065693996,1091.41048364,,,0.654000382285,-2.55360516622,-1.34279010829
153,QuironValencia,QuironValencia_0020013,1,0.426714764216,0,99.0789295459,1153.69060227,,,0.692614836503,-2.09319392025,-1.26787101647
