,site,orig_id,id,func_run,anat_infile,func_infile,anat_outdir,func_outdir,mean_FD,max_FD,mean_relative_motion,max_relative_motion,num_movements,mean_cor,mean_zcor
310,Rockland,3329569,Rockland_3329569,1,/home/data/Originals/Rockland/raw/3329569/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3329569/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3329569_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3329569_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.208052662109,0.818879,0.180690616175,0.395076258462,0,0.436982595046,-2.31135271744
314,Rockland,3808535,Rockland_3808535,1,/home/data/Originals/Rockland/raw/3808535/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3808535/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3808535_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3808535_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0414110941797,0.419543,0.0914879878158,0.304946716657,0,0.356535622623,-2.95730655643
317,Rockland,4791943,Rockland_4791943,1,/home/data/Originals/Rockland/raw/4791943/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/4791943/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4791943_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4791943_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0646495777344,0.579224,0.0666588228811,0.274012590952,0,0.423606665555,-2.42229081707
339,baltimore,sub17017,baltimore_sub17017,1,/home2/data/Originals/FCon1000/raw/baltimore/sub17017/anat/mprage_anonymized.nii.gz,/home2/data/Originals/FCon1000/raw/baltimore/sub17017/func/rest.nii.gz,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub17017_/scan,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub17017_/scan_func_rest,0.0797042195122,0.611902,0.0618997003263,0.140380091181,0,0.472231869853,-2.01100227726
343,baltimore,sub29158,baltimore_sub29158,1,/home2/data/Originals/FCon1000/raw/baltimore/sub29158/anat/mprage_anonymized.nii.gz,/home2/data/Originals/FCon1000/raw/baltimore/sub29158/func/rest.nii.gz,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub29158_/scan,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub29158_/scan_func_rest,0.170117642276,0.732196,0.152503752027,0.307292970958,0,0.45620171175,-2.14909971114
345,baltimore,sub31837,baltimore_sub31837,1,/home2/data/Originals/FCon1000/raw/baltimore/sub31837/anat/mprage_anonymized.nii.gz,/home2/data/Originals/FCon1000/raw/baltimore/sub31837/func/rest.nii.gz,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub31837_/scan,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub31837_/scan_func_rest,0.0953567756098,0.686773,0.220902178605,0.4401763851,0,0.432229504693,-2.35095421454
352,baltimore,sub77572,baltimore_sub77572,1,/home2/data/Originals/FCon1000/raw/baltimore/sub77572/anat/mprage_anonymized.nii.gz,/home2/data/Originals/FCon1000/raw/baltimore/sub77572/func/rest.nii.gz,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub77572_/scan,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub77572_/scan_func_rest,0.117252617073,0.646326,0.172407269811,0.359952677445,0,0.467462202006,-2.0523674134
354,baltimore,sub81887,baltimore_sub81887,1,/home2/data/Originals/FCon1000/raw/baltimore/sub81887/anat/mprage_anonymized.nii.gz,/home2/data/Originals/FCon1000/raw/baltimore/sub81887/func/rest.nii.gz,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub81887_/scan,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub81887_/scan_func_rest,0.0824962162602,0.904466,0.110963670004,0.255374861723,0,0.340409549306,-3.08135400971
358,baltimore,sub90893,baltimore_sub90893,1,/home2/data/Originals/FCon1000/raw/baltimore/sub90893/anat/mprage_anonymized.nii.gz,/home2/data/Originals/FCon1000/raw/baltimore/sub90893/func/rest.nii.gz,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub90893_/scan,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub90893_/scan_func_rest,0.132994082114,1.25295,0.26129502804,0.569889129568,0,0.455035683474,-2.15904404705
370,bangor,sub61418,bangor_sub61418,1,/home2/data/Originals/FCon1000/raw/bangor/sub61418/anat/mprage_anonymized.nii.gz,/home2/data/Originals/FCon1000/raw/bangor/sub61418/func/rest.nii.gz,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub61418_/scan,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub61418_/scan_func_rest,0.119443384906,0.375096,0.102616356059,0.302601867146,0,0.471320970519,-2.01892050968
808,cleveland,sub19005,cleveland_sub19005,1,/home2/data/Originals/FCon1000/raw/cleveland/sub19005/anat/mprage_anonymized.nii.gz,/home2/data/Originals/FCon1000/raw/cleveland/sub19005/func/rest.nii.gz,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub19005_/scan,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub19005_/scan_func_rest,0.26315787874,0.856904,0.195687505117,0.376989243878,0,0.427725604693,-2.38829527797
914,icbm,sub34252,icbm_sub34252,2,/home2/data/Originals/FCon1000/raw/icbm/sub34252/anat/mprage_anonymized.nii.gz,/home2/data/Originals/FCon1000/raw/icbm/sub34252/func_2/rest.nii.gz,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub34252_/scan,/home2/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub34252_/scan_func_2_rest,0.259240364063,0.601435,0.118202656687,0.298752489529,0,0.465196929799,-2.07193032829
