,orig_id,site,id,func_run,mean_FD
107,0003039,Berlin,Berlin_0003039,2,0.0505701443878
108,0003040,Berlin,Berlin_0003040,1,0.133014990306
109,0003040,Berlin,Berlin_0003040,2,0.0664738515306
110,0003041,Berlin,Berlin_0003041,1,0.0362799983163
111,0003041,Berlin,Berlin_0003041,2,0.0304991595918
112,0003042,Berlin,Berlin_0003042,1,0.119716731633
113,0003042,Berlin,Berlin_0003042,2,0.0824808714286
114,0003044,Berlin,Berlin_0003044,1,0.0555759056122
115,0003044,Berlin,Berlin_0003044,2,0.0721857486224
116,0003045,Berlin,Berlin_0003045,1,0.190912363776
117,0003045,Berlin,Berlin_0003045,2,0.0675290443878
118,0003047,Berlin,Berlin_0003047,1,0.044967577551
119,0003047,Berlin,Berlin_0003047,2,0.0937926070918
120,0003049,Berlin,Berlin_0003049,1,0.150702458673
121,0003049,Berlin,Berlin_0003049,2,0.0987912295918
122,0003050,Berlin,Berlin_0003050,1,0.0650686341837
123,0003050,Berlin,Berlin_0003050,2,0.0511447056122
124,0003051,Berlin,Berlin_0003051,1,0.0497226790816
125,0003051,Berlin,Berlin_0003051,2,0.052455344898
126,0003052,Berlin,Berlin_0003052,1,0.0520474341837
127,0003052,Berlin,Berlin_0003052,2,0.0593803556122
128,0003054,Berlin,Berlin_0003054,1,0.0695298744898
129,0003054,Berlin,Berlin_0003054,2,0.102050117347
130,0003055,Berlin,Berlin_0003055,1,0.158437670918
131,0003055,Berlin,Berlin_0003055,2,0.120747384184
132,0003056,Berlin,Berlin_0003056,1,0.142917502041
133,0003056,Berlin,Berlin_0003056,2,0.125047095918
134,0003057,Berlin,Berlin_0003057,1,0.0851509887755
135,0003057,Berlin,Berlin_0003057,2,0.097807322449
136,0003059,Berlin,Berlin_0003059,1,0.0872454806122
137,0003059,Berlin,Berlin_0003059,2,0.0716874306122
138,0003060,Berlin,Berlin_0003060,1,0.15639825102
139,0003060,Berlin,Berlin_0003060,2,0.107437862398
140,0003061,Berlin,Berlin_0003061,1,0.0521772954082
141,0003061,Berlin,Berlin_0003061,2,0.0655375295918
142,0003062,Berlin,Berlin_0003062,1,0.141379766837
143,0003062,Berlin,Berlin_0003062,2,0.0740100459184
144,0003063,Berlin,Berlin_0003063,1,0.120187027551
145,0003063,Berlin,Berlin_0003063,2,0.115107311735
146,0003064,Berlin,Berlin_0003064,1,0.0708901755102
147,0003064,Berlin,Berlin_0003064,2,0.0706226479592
148,0020001,QuironValencia,QuironValencia_0020001,1,0.1237394
149,0020002,QuironValencia,QuironValencia_0020002,1,0.11809476875
150,0020003,QuironValencia,QuironValencia_0020003,1,0.497376269375
