,site,orig_id,id,func_run,anat_infile,func_infile,anat_outdir,func_outdir,mean_FD,max_FD,mean_relative_motion,max_relative_motion,num_movements,mean_cor,mean_zcor
249,Rockland,3827479,Rockland_3827479,1,/home/data/Originals/Rockland/raw/3827479/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3827479/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3827479_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3827479_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.175359152344,0.814283,0.163837180065,0.42751197644,0,0.564835027627,-2.34491813228
250,Rockland,3875444,Rockland_3875444,1,/home/data/Originals/Rockland/raw/3875444/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3875444/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3875444_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3875444_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.302106380469,4.45526,0.25082402827,1.22078378512,2,0.584412975084,-2.18385245127
255,Rockland,9630905,Rockland_9630905,1,/home/data/Originals/Rockland/raw/9630905/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/9630905/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9630905_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9630905_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.138259716797,0.916167,0.167686674609,0.543096032024,0,0.568248059373,-2.31722469484
264,Rockland,3409284,Rockland_3409284,1,/home/data/Originals/Rockland/raw/3409284/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3409284/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3409284_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3409284_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.223608463672,1.9422,0.461840303415,1.95507353314,5,0.527681381746,-2.63681354209
268,Rockland,1764982,Rockland_1764982,1,/home/data/Originals/Rockland/raw/1764982/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1764982/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1764982_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1764982_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.207395260156,1.45266,0.245187635727,0.598424372833,0,0.529063221796,-2.62625135883
269,Rockland,1915832,Rockland_1915832,1,/home/data/Originals/Rockland/raw/1915832/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1915832/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1915832_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1915832_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.246804866797,1.87145,0.257961649928,0.835945219497,0,0.531235562633,-2.60960347302
274,Rockland,2986140,Rockland_2986140,1,/home/data/Originals/Rockland/raw/2986140/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2986140/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2986140_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2986140_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.144792303516,1.17005,0.203034240725,0.863649355931,0,0.598755545532,-2.06227440817
280,Rockland,6471972,Rockland_6471972,1,/home/data/Originals/Rockland/raw/6471972/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/6471972/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/6471972_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/6471972_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.116687877344,3.75877,0.445007984469,1.11485565433,2,0.579555770273,-2.22432120088
285,Rockland,1339484,Rockland_1339484,1,/home/data/Originals/Rockland/raw/1339484/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1339484/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1339484_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1339484_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.249674180469,0.764417,0.17705592184,0.464470451159,0,0.572811947489,-2.27994405669
287,Rockland,2132437,Rockland_2132437,1,/home/data/Originals/Rockland/raw/2132437/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2132437/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2132437_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2132437_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.170518859375,1.60481,0.572700098764,1.0418046122,2,0.503385759297,-2.81915867049
288,Rockland,2132437,Rockland_2132437,2,/home/data/Originals/Rockland/raw/2132437/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2132437/session_1/BOLDrestingCAP_2/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2132437_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2132437_session_1/scan_BOLDrestingCAP_2_BOLDrestingCAP,0.115501132812,0.938375,0.186754522018,0.56561482477,0,0.372348281569,-3.71549156904
289,Rockland,2166659,Rockland_2166659,1,/home/data/Originals/Rockland/raw/2166659/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2166659/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2166659_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2166659_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.058784075,0.637726,0.189688618694,0.398285387631,0,0.47508918194,-3.02416210751
298,Rockland,9716792,Rockland_9716792,1,/home/data/Originals/Rockland/raw/9716792/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/9716792/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9716792_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9716792_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.399401542578,1.84562,0.417791420106,0.991137417314,0,0.554926648587,-2.42443873809
299,Rockland,1322220,Rockland_1322220,1,/home/data/Originals/Rockland/raw/1322220/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1322220/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1322220_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1322220_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.110860511328,2.12107,0.339389684717,0.779693433344,0,0.545371501483,-2.49993620836
302,Rockland,1834799,Rockland_1834799,1,/home/data/Originals/Rockland/raw/1834799/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1834799/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1834799_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1834799_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.216700019531,1.2398,0.273123767493,0.842753961723,0,0.587535014447,-2.15765611884
303,Rockland,1940084,Rockland_1940084,1,/home/data/Originals/Rockland/raw/1940084/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1940084/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1940084_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1940084_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.308418376953,1.84799,0.602417572556,1.25821636057,26,0.317735816364,-4.05719988284
305,Rockland,2176073,Rockland_2176073,1,/home/data/Originals/Rockland/raw/2176073/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2176073/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2176073_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2176073_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0954128816406,1.2116,0.165626981561,0.464923144186,0,0.576912053401,-2.246203714
307,Rockland,2531270,Rockland_2531270,1,/home/data/Originals/Rockland/raw/2531270/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2531270/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2531270_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2531270_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0975901046875,1.18024,0.279589101701,0.698746341672,0,0.582226255144,-2.20211437227
309,Rockland,2842950,Rockland_2842950,1,/home/data/Originals/Rockland/raw/2842950/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2842950/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2842950_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2842950_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.306797367578,2.56094,0.360597536298,1.22189743023,5,0.530356942118,-2.61634326848
