,Id,release,dir,exists,mean_FD,max_relative_motion
37,M10962251,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10962251_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.127519146667,0.221373756349
38,M10954423,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10954423_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.262870494167,1.43751076866
39,M10979005,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10979005_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0859961108333,0.429656467425
40,M10988854,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10988854_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.177489636667,0.429936646496
41,M10939300,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10939300_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0849642025,0.39072468568
42,M10999340,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10999340_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.180668033333,0.376100638128
43,M10937679,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10937679_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0695764933333,0.135335324287
44,M10977330,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10977330_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.224468941667,0.270464859085
45,M10959429,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10959429_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.1175841525,0.256652683602
46,M10980093,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10980093_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.2622681275,1.031952809
47,M10982604,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10982604_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0605091383333,0.190355588308
48,M10992197,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10992197_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.124487303333,0.298612206716
49,M10936303,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10936303_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.182859430833,0.42857425261
50,M10916834,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10916834_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.08230710125,0.315586770952
51,M10937496,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10937496_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.199383686667,1.00603265355
52,M10968239,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10968239_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.112164494167,0.632254458268
53,M10946714,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10946714_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.04935931,0.0897991648068
54,M10923173,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10923173_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.060257195,0.258024068645
