,Unnamed: 0,label,val,x,y,z,stat,local.dist,all.dist,ps1,fs1,ps2,fs2
16,17,maxima,132,8,-12,54,2.9,25.9229627936,13.2664991614,2.56330740234,2.02679851832,1.25753672851,1.48961132868
17,18,maxima,134,4,-28,34,3.82,25.9229627936,16.9705627485,4.17609125906,3.17321335232,1.82584324072,1.79844691888
18,19,maxima,136,-56,-44,-6,3.071,26.5329983228,14.9666295471,3.33099321904,2.64886036316,0.789949150125,1.25360566107
19,20,maxima,138,-4,-96,14,3.646,20.3960780544,18.3303027798,4.17609125906,2.50566418185,1.37400200117,1.49971681294
20,21,maxima,140,-4,16,34,3.463,20.3960780544,16.9705627485,3.87506126339,3.02808697069,2.83366857823,2.20080834824
21,22,maxima,142,-48,-68,2,2.72,25.2982212813,14.9666295471,2.33099321904,2.13489232936,0.225677719686,0.884304784696
22,23,maxima,144,-40,0,-22,3.82,22.9782505862,19.5959179423,3.69897000434,3.17634011815,0.272892712013,0.919611609539
23,24,maxima,146,0,-76,14,3.403,20.3960780544,16.4924225025,3.87506126339,3.23045282814,0.578286416651,1.12522803574
24,25,maxima,148,36,4,-22,3.463,20.7846096908,14.4222051019,2.27846416777,2.06125802705,0.129440042085,0.806267348818
25,26,significant,200,40,-24,58,2.26357936859,31.496031496,18.3303027798,1.6615435064,1.73238799246,1.67916161098,1.65168116121
26,27,significant,202,16,-80,-2,1.75769162178,21.9089023002,18.3303027798,1.84365279914,1.66463514892,0.330807132708,0.97697909359
27,28,significant,204,48,-60,26,1.96569943428,24.6576560119,14.9666295471,1.23857336704,1.4141200247,0.992536725437,1.38220778757
28,29,significant,206,-40,36,-14,2.3288564682,24.6576560119,16.9705627485,1.90424965252,1.83313589577,1.19291618702,1.48350831688
29,30,significant,208,0,-68,42,1.69680607319,26.83281573,14.4222051019,1.33348201945,1.66549828755,0.944366875727,1.40115464847
30,31,significant,210,-32,-60,-14,1.69610142708,28.2842712475,13.8564064606,1.05322033619,1.32452504468,0.0813756247275,0.781598462942
31,32,significant,212,4,-40,-10,1.80761361122,23.6643191324,12.0,1.19654288435,1.46246358776,0.115771230367,0.810674396667
32,33,significant,214,12,-88,18,2.03749966621,21.9089023002,17.4355957742,2.05551732785,1.76053053553,0.397072287141,1.01620606536
33,34,significant,216,8,4,42,1.74914085865,27.1293199325,18.3303027798,1.21183162886,1.37907727952,0.41778507733,1.03029747134
34,35,significant,218,-44,-40,2,1.93873727322,26.83281573,14.9666295471,1.33661321168,1.60068189727,0.926648297613,1.34353533954
35,36,significant,220,0,-44,30,1.69189143181,26.83281573,16.9705627485,1.29987341846,1.42629782279,0.541513236202,1.09414464849
36,37,significant,222,-40,-44,50,2.12804532051,29.1204395571,29.1204395571,1.61618463402,1.91105444955,0.458088090789,1.05780477239
37,38,significant,224,8,-60,-22,1.83842360973,23.6643191324,18.3303027798,1.51617505899,1.59341136452,2.23160858691,1.89972135516
38,39,significant,226,-24,-4,-2,2.02306294441,29.1204395571,14.9666295471,1.3347317886,1.56845422089,0.170739122569,0.827561209855
39,40,significant,228,-48,8,22,1.90177941322,27.7128129211,21.5406592285,1.31875876262,1.60965359191,1.45345733652,1.67531694199
40,41,significant,230,40,-80,14,2.82015800476,24.6576560119,22.9782505862,2.39076142404,1.95616611174,0.928608998379,1.3006610208
41,42,significant,232,16,-52,10,2.15451264381,26.2297540972,14.4222051019,2.0,1.82781209702,0.901010360599,1.3170209001
42,43,significant,234,64,-36,26,2.17185401917,28.8444102037,16.4924225025,1.61738268852,1.63569168419,2.51333342737,2.26397745164
43,44,significant,236,-36,-60,18,2.00154829025,26.83281573,20.0,1.47712125472,1.79455180505,0.623058242853,1.17927756624
44,45,significant,238,-4,28,46,2.08945631981,27.1293199325,16.9705627485,1.72738493915,1.8521271915,2.53263858257,2.24082469378
45,46,significant,240,40,-56,-6,2.17718625069,29.1204395571,16.9705627485,1.16962521681,1.42363225375,1.20388842068,1.44108559355
46,47,significant,242,-52,-12,-2,1.87883758545,29.1204395571,12.0,1.40011692793,1.52335923117,0.0685082278644,0.762344601466
47,48,significant,244,-32,24,6,2.07341861725,24.6576560119,14.9666295471,1.87073988961,1.88650511801,0.885833989661,1.30561891965
48,49,significant,246,-16,-48,66,1.80419969559,29.1204395571,23.3238075794,1.36317790241,1.50171137945,0.845677485706,1.25775784918
49,50,significant,248,36,0,38,1.97855019569,28.5657137142,20.0,1.25232929823,1.68510267151,3.57403126773,3.09724656062
50,51,not-significant,300,8,56,26,-1.07673203945,33.941125497,11.313708499,0.132689680145,0.827252631973,0.777630409447,1.231279947
51,52,not-significant,302,24,-28,-10,-0.602762520313,32.7414110875,14.9666295471,0.0783828784741,0.754342864059,0.931566747486,1.3460445074
52,53,not-significant,304,32,-8,62,-0.381723225117,36.2215405525,18.3303027798,0.213295889198,0.853555889848,0.16312755923,0.811979755186
53,54,not-significant,306,60,-8,6,-0.805958688259,25.6124969497,16.9705627485,0.0674924130821,0.714853201369,0.19400101976,0.863199726114
54,55,not-significant,308,-8,4,6,0.362203449011,30.7245829915,16.4924225025,0.374070507284,0.996063259195,0.686976889677,1.18357034054
55,56,not-significant,310,0,-80,30,0.489812374115,27.1293199325,16.4924225025,0.567779216358,1.13964174131,0.847711655617,1.36665591972
56,57,not-significant,312,36,28,38,0.375619232655,36.4417343166,11.313708499,0.479560139086,1.05492661302,0.916736331748,1.38469832925
57,58,not-significant,314,-16,-20,38,0.488305687904,20.7846096908,16.9705627485,0.165113246881,0.847708715515,0.768870366128,1.21215053947
58,59,not-significant,316,0,48,-6,0.931232452393,33.941125497,16.9705627485,0.770574152079,1.22390609747,0.80446933188,1.26387873573
59,60,not-significant,318,36,0,2,0.839955508709,24.3310501212,11.313708499,0.655345787536,1.15549680336,0.563625295103,1.11714418282
60,61,not-significant,320,32,24,2,1.21701109409,24.3310501212,17.88854382,1.07744753324,1.40925724907,0.476773958034,1.06261635316
61,62,not-significant,322,-20,-24,70,-0.265271902084,30.1993377411,19.5959179423,0.364717362002,0.998792811926,0.327717375211,0.974637586972
62,63,not-significant,324,32,-72,-6,0.765232145786,44.0,17.88854382,0.613203877762,1.14519441952,1.01562272794,1.36658466361
63,64,not-significant,326,0,-60,54,0.273069232702,31.2409987036,14.4222051019,0.653386266321,1.18351866256,0.430470037749,1.03298838302
64,65,not-significant,328,-20,-24,10,0.14387395978,21.5406592285,14.4222051019,0.225337077462,0.899986449684,0.874627185912,1.30384088374
65,66,not-significant,330,44,-40,50,0.203258067369,33.4664010614,18.3303027798,0.385735712641,1.00270734531,0.0743785452092,0.708917873511
66,67,not-significant,332,-52,-20,38,0.69306832552,20.0,20.0,0.761953896871,1.24319654355,0.278464167765,0.945032532323
67,68,not-significant,334,-4,-48,-14,0.587998449802,34.6410161514,12.0,0.358393704293,0.994273040583,1.12301281557,1.41435011655
68,69,not-significant,336,32,56,2,-0.0955642387271,32.0,17.88854382,0.38320951367,0.976666521074,1.24820784872,1.60537047905
69,70,not-significant,338,-4,-8,50,1.24119603634,20.7846096908,12.0,0.896196279044,1.28760220211,0.769721423586,1.23444562088
70,71,not-significant,340,-40,-20,22,1.18876194954,20.0,12.0,1.76955107862,1.72327698531,0.392330563312,1.01807369349
71,72,not-significant,342,-40,-80,-2,0.453021407127,25.9229627936,14.9666295471,0.403769552333,1.02472986788,0.26472055194,0.938415860989
72,73,not-significant,344,-36,-16,-2,-0.221546843648,21.5406592285,16.4924225025,0.417179366658,1.03476633039,0.405533784205,1.02545087064
73,74,not-significant,346,56,-16,30,1.19454038143,25.6124969497,21.9089023002,0.967649902617,1.35820721268,0.754487332186,1.2370445939
74,75,not-significant,348,-24,-76,18,0.927372157574,25.9229627936,20.0,0.617142813078,1.15420978585,0.451569631937,1.04884032704
75,76,minima,400,-12,-16,54,-2.441,30.7245829915,12.0,0.0262565623399,0.664783522462,0.571865205971,1.12071716176
76,77,minima,402,-16,-20,-14,-1.835,28.0,21.5406592285,0.0129597130207,0.643554682823,1.13986171497,1.40802268911
77,78,minima,404,40,-56,14,-1.902,26.83281573,14.9666295471,0.046143701775,0.584335912962,0.274306113752,0.889045058598
78,79,minima,406,28,28,30,-2.478,21.5406592285,11.313708499,0.00249712030105,0.427798696298,0.171039509062,0.79237432032
