"id","site","orig_id","run","outdir","mean_FD","mean_relative","age","sex","handedness","eyes","orig_site"
"ann_arbor_a_sub56028","Ann Arbor","sub56028","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub56028_/scan_func_rest",0.0389206596271,0.07867859677,26.22,"Female","Right-Handed",NA,"ann_arbor_a"
"ann_arbor_a_sub04619","Ann Arbor","sub04619","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub04619_/scan_func_rest",0.110600545763,0.362246327637,18.34,"Male","Right-Handed",NA,"ann_arbor_a"
"ann_arbor_a_sub13636","Ann Arbor","sub13636","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub13636_/scan_func_rest",0.094964500678,0.074314298986,29.2,"Male","Right-Handed",NA,"ann_arbor_a"
"baltimore_sub17017","Baltimore","sub17017","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub17017_/scan_func_rest",0.0797042195122,0.0618997003263,22,"Female",NA,NA,"baltimore"
"baltimore_sub30072","Baltimore","sub30072","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub30072_/scan_func_rest",0.0704457520325,0.10022339947,26,"Female",NA,NA,"baltimore"
"baltimore_sub19738","Baltimore","sub19738","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub19738_/scan_func_rest",0.184361769919,0.212588430517,27,"Female",NA,NA,"baltimore"
"baltimore_sub90658","Baltimore","sub90658","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub90658_/scan_func_rest",0.187633805691,0.486362967005,32,"Female",NA,NA,"baltimore"
"baltimore_sub37548","Baltimore","sub37548","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub37548_/scan_func_rest",0.16476551626,0.298430781895,30,"Male",NA,NA,"baltimore"
"baltimore_sub81887","Baltimore","sub81887","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub81887_/scan_func_rest",0.0824962162602,0.110963670004,32,"Male",NA,NA,"baltimore"
"baltimore_sub91622","Baltimore","sub91622","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub91622_/scan_func_rest",0.0741291390244,0.247236127534,33,"Male",NA,NA,"baltimore"
"bangor_sub66585","Bangor","sub66585","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub66585_/scan_func_rest",0.157119828679,0.176834248547,19,"Male",NA,NA,"bangor"
"bangor_sub03557","Bangor","sub03557","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub03557_/scan_func_rest",0.226128148679,0.393402397877,21,"Male",NA,NA,"bangor"
"bangor_sub14388","Bangor","sub14388","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub14388_/scan_func_rest",0.110890388302,0.144463610279,21,"Male",NA,NA,"bangor"
"bangor_sub82625","Bangor","sub82625","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub82625_/scan_func_rest",0.0959492215094,0.0829195946091,21,"Male",NA,NA,"bangor"
"bangor_sub61908","Bangor","sub61908","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub61908_/scan_func_rest",0.0999850169811,0.182745892464,22,"Male",NA,NA,"bangor"
"bangor_sub77520","Bangor","sub77520","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub77520_/scan_func_rest",0.111365841132,0.294139450519,23,"Male",NA,NA,"bangor"
"bangor_sub46870","Bangor","sub46870","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub46870_/scan_func_rest",0.144473181509,0.23420922532,28,"Male",NA,NA,"bangor"
"beijing_sub28698","Beijing A","sub28698","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub28698_/scan_func_rest",0.0562730293333,0.115534966851,18,"Female",NA,"Closed","beijing"
"beijing_sub83430","Beijing A","sub83430","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub83430_/scan_func_rest",0.0699127795556,0.354376276982,18,"Female",NA,"Closed","beijing"
