"sample","site","keep"
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Cleveland",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",TRUE
"Discovery Sample","Icbm",FALSE
"Discovery Sample","Leiden A",TRUE
"Discovery Sample","Leiden A",TRUE
