"","site","id","age","sex","handedness","eyes"
"349","beijing","sub92430",21,"M",NA,"closed"
"350","beijing","sub92490",20,"M",NA,"closed"
"351","beijing","sub92544",22,"M",NA,"closed"
"352","beijing","sub92602",26,"M",NA,"closed"
"353","beijing","sub92799",23,"F",NA,"closed"
"354","beijing","sub92859",21,"F",NA,"closed"
"355","beijing","sub93689",19,"F",NA,"closed"
"356","beijing","sub93856",20,"F",NA,"closed"
"357","beijing","sub94536",20,"F",NA,"closed"
"358","beijing","sub95575",21,"F",NA,"closed"
"359","beijing","sub95755",26,"F",NA,"closed"
"360","beijing","sub96163",22,"M",NA,"closed"
"361","beijing","sub97442",23,"F",NA,"closed"
"362","beijing","sub98353",21,"M",NA,"closed"
"363","beijing","sub98617",20,"F",NA,"closed"
"364","berlin","sub06204",34,"M",NA,NA
"365","berlin","sub06716",23,"F",NA,NA
"366","berlin","sub12855",33,"M",NA,NA
"367","berlin","sub18913",29,"F",NA,NA
"368","berlin","sub23506",27,"F",NA,NA
"369","berlin","sub27536",25,"M",NA,NA
"370","berlin","sub27711",26,"F",NA,NA
"371","berlin","sub27797",31,"M",NA,NA
"372","berlin","sub28092",26,"F",NA,NA
"373","berlin","sub33248",28,"F",NA,NA
"374","berlin","sub38279",29,"M",NA,NA
"375","berlin","sub40143",34,"M",NA,NA
"376","berlin","sub47066",26,"F",NA,NA
"377","berlin","sub47791",31,"M",NA,NA
"378","berlin","sub49134",44,"M",NA,NA
"379","berlin","sub54976",37,"M",NA,NA
"380","berlin","sub57028",37,"F",NA,NA
"381","berlin","sub67166",32,"F",NA,NA
"382","berlin","sub75506",28,"M",NA,NA
"383","berlin","sub77281",24,"F",NA,NA
"384","berlin","sub85681",26,"F",NA,NA
"385","berlin","sub86111",24,"F",NA,NA
"386","berlin","sub91116",39,"M",NA,NA
"387","berlin","sub91966",27,"F",NA,NA
"388","berlin","sub95068",26,"M",NA,NA
"389","berlin","sub97162",28,"M",NA,NA
"390","cambridge","sub00156",20,"F",NA,NA
"391","cambridge","sub00294",20,"F",NA,NA
"392","cambridge","sub01361",19,"M",NA,NA
"393","cambridge","sub02591",22,"F",NA,NA
"394","cambridge","sub02953",23,"F",NA,NA
"395","cambridge","sub04187",18,"F",NA,NA
"396","cambridge","sub04270",20,"M",NA,NA
"397","cambridge","sub04491",25,"F",NA,NA
"398","cambridge","sub04665",19,"F",NA,NA
"399","cambridge","sub05306",19,"F",NA,NA
"400","cambridge","sub05453",20,"F",NA,NA
"401","cambridge","sub06037",21,"F",NA,NA
"402","cambridge","sub06272",22,"M",NA,NA
"403","cambridge","sub06987",21,"M",NA,NA
"404","cambridge","sub07413",20,"M",NA,NA
"405","cambridge","sub07798",22,"M",NA,NA
"406","cambridge","sub07902",23,"F",NA,NA
"407","cambridge","sub08204",26,"F",NA,NA
"408","cambridge","sub08588",21,"F",NA,NA
"409","cambridge","sub08723",22,"F",NA,NA
"410","cambridge","sub08947",19,"F",NA,NA
"411","cambridge","sub09015",25,"F",NA,NA
"412","cambridge","sub09397",30,"M",NA,NA
"413","cambridge","sub09633",30,"F",NA,NA
"414","cambridge","sub10268",23,"M",NA,NA
"415","cambridge","sub10619",19,"M",NA,NA
"416","cambridge","sub11388",20,"F",NA,NA
"417","cambridge","sub12346",18,"M",NA,NA
"418","cambridge","sub13093",19,"F",NA,NA
"419","cambridge","sub13187",23,"M",NA,NA
"420","cambridge","sub13216",18,"F",NA,NA
"421","cambridge","sub13902",19,"M",NA,NA
"422","cambridge","sub14183",21,"F",NA,NA
"423","cambridge","sub14194",20,"M",NA,NA
"424","cambridge","sub14278",21,"F",NA,NA
"425","cambridge","sub15172",20,"F",NA,NA
"426","cambridge","sub15258",23,"M",NA,NA
"427","cambridge","sub15432",23,"M",NA,NA
"428","cambridge","sub15905",20,"M",NA,NA
"429","cambridge","sub16122",18,"F",NA,NA
"430","cambridge","sub16390",23,"F",NA,NA
"431","cambridge","sub16846",29,"M",NA,NA
"432","cambridge","sub17584",20,"F",NA,NA
"433","cambridge","sub17737",26,"F",NA,NA
"434","cambridge","sub17772",24,"M",NA,NA
"435","cambridge","sub18295",21,"M",NA,NA
"436","cambridge","sub18449",19,"M",NA,NA
