"","iteration","subjects","effect.size","connections","method","sensitivity","specificity"
"233",1,50,0.15,8,"degree",0.32,0.96
"234",1,50,0.15,8,"mdmr",1,0.96
"235",1,50,0.2,8,"glm",1,0.946666666666667
"236",1,50,0.2,8,"degree",0.38,0.96
"237",1,50,0.2,8,"mdmr",1,0.98
"238",1,50,0.3,8,"glm",1,0.9465625
"239",1,50,0.3,8,"degree",0.66,0.94
"240",1,50,0.3,8,"mdmr",1,0.96
"241",1,50,0.02,10,"glm",0.124,0.947157894736842
"242",1,50,0.02,10,"degree",0.06,0.98
"243",1,50,0.02,10,"mdmr",0.1,0.98
"244",1,50,0.04,10,"glm",0.32,0.947578947368421
"245",1,50,0.04,10,"degree",0.06,0.96
"246",1,50,0.04,10,"mdmr",0.44,1
"247",1,50,0.06,10,"glm",0.666,0.946526315789474
"248",1,50,0.06,10,"degree",0.1,1
"249",1,50,0.06,10,"mdmr",0.98,0.98
"250",1,50,0.08,10,"glm",0.862,0.946842105263158
"251",1,50,0.08,10,"degree",0.18,0.98
"252",1,50,0.08,10,"mdmr",1,0.98
"253",1,50,0.1,10,"glm",0.976,0.946631578947368
"254",1,50,0.1,10,"degree",0.14,0.96
"255",1,50,0.1,10,"mdmr",1,0.98
"256",1,50,0.15,10,"glm",1,0.946421052631579
"257",1,50,0.15,10,"degree",0.48,0.96
"258",1,50,0.15,10,"mdmr",1,0.98
"259",1,50,0.2,10,"glm",1,0.946526315789474
"260",1,50,0.2,10,"degree",0.4,0.96
"261",1,50,0.2,10,"mdmr",1,0.96
"262",1,50,0.3,10,"glm",1,0.947789473684211
"263",1,50,0.3,10,"degree",0.7,0.96
"264",1,50,0.3,10,"mdmr",1,0.98
"265",1,50,0.02,14,"glm",0.138571428571429,0.946344086021505
"266",1,50,0.02,14,"degree",0.04,0.96
"267",1,50,0.02,14,"mdmr",0.16,1
"268",1,50,0.04,14,"glm",0.351428571428571,0.947096774193548
"269",1,50,0.04,14,"degree",0.1,0.98
"270",1,50,0.04,14,"mdmr",0.68,0.98
"271",1,50,0.06,14,"glm",0.657142857142857,0.94741935483871
"272",1,50,0.06,14,"degree",0.2,0.98
"273",1,50,0.06,14,"mdmr",1,0.98
"274",1,50,0.08,14,"glm",0.874285714285714,0.94752688172043
"275",1,50,0.08,14,"degree",0.12,0.96
"276",1,50,0.08,14,"mdmr",1,0.98
"277",1,50,0.1,14,"glm",0.978571428571429,0.945483870967742
"278",1,50,0.1,14,"degree",0.28,0.96
"279",1,50,0.1,14,"mdmr",1,0.96
"280",1,50,0.15,14,"glm",1,0.947204301075269
"281",1,50,0.15,14,"degree",0.26,0.96
"282",1,50,0.15,14,"mdmr",1,1
"283",1,50,0.2,14,"glm",1,0.946989247311828
"284",1,50,0.2,14,"degree",0.58,0.96
"285",1,50,0.2,14,"mdmr",1,1
"286",1,50,0.3,14,"glm",1,0.945698924731183
"287",1,50,0.3,14,"degree",0.68,0.92
"288",1,50,0.3,14,"mdmr",1,0.98
"289",1,100,0.02,2,"glm",0.28,0.952222222222222
"290",1,100,0.02,2,"degree",0.08,0.98
"291",1,100,0.02,2,"mdmr",0.04,1
"292",1,100,0.04,2,"glm",0.5,0.951919191919192
"293",1,100,0.04,2,"degree",0.04,0.92
"294",1,100,0.04,2,"mdmr",0.12,1
"295",1,100,0.06,2,"glm",0.94,0.952020202020202
"296",1,100,0.06,2,"degree",0.08,0.96
"297",1,100,0.06,2,"mdmr",0.46,1
"298",1,100,0.08,2,"glm",1,0.952222222222222
"299",1,100,0.08,2,"degree",0.12,0.94
"300",1,100,0.08,2,"mdmr",0.72,1
"301",1,100,0.1,2,"glm",1,0.952121212121212
"302",1,100,0.1,2,"degree",0.08,0.94
"303",1,100,0.1,2,"mdmr",0.94,1
"304",1,100,0.15,2,"glm",1,0.951717171717172
"305",1,100,0.15,2,"degree",0.22,0.96
"306",1,100,0.15,2,"mdmr",1,1
"307",1,100,0.2,2,"glm",1,0.951818181818182
"308",1,100,0.2,2,"degree",0.36,0.92
"309",1,100,0.2,2,"mdmr",1,1
"310",1,100,0.3,2,"glm",1,0.951717171717172
"311",1,100,0.3,2,"degree",0.52,0.94
"312",1,100,0.3,2,"mdmr",1,0.98
"313",1,100,0.02,4,"glm",0.195,0.952142857142857
"314",1,100,0.02,4,"degree",0.1,0.94
"315",1,100,0.02,4,"mdmr",0.06,1
"316",1,100,0.04,4,"glm",0.54,0.952040816326531
"317",1,100,0.04,4,"degree",0.12,0.96
"318",1,100,0.04,4,"mdmr",0.24,1
"319",1,100,0.06,4,"glm",0.93,0.952142857142857
"320",1,100,0.06,4,"degree",0.16,0.96
"321",1,100,0.06,4,"mdmr",0.76,1
"322",1,100,0.08,4,"glm",0.99,0.952244897959184
"323",1,100,0.08,4,"degree",0.16,0.96
"324",1,100,0.08,4,"mdmr",0.98,1
"325",1,100,0.1,4,"glm",1,0.952040816326531
"326",1,100,0.1,4,"degree",0.12,0.9
"327",1,100,0.1,4,"mdmr",1,1
"328",1,100,0.15,4,"glm",1,0.952244897959184
"329",1,100,0.15,4,"degree",0.38,0.96
"330",1,100,0.15,4,"mdmr",1,1
"331",1,100,0.2,4,"glm",1,0.952244897959184
"332",1,100,0.2,4,"degree",0.5,0.92
"333",1,100,0.2,4,"mdmr",1,1
"334",1,100,0.3,4,"glm",1,0.952244897959184
"335",1,100,0.3,4,"degree",0.68,0.94
"336",1,100,0.3,4,"mdmr",1,1
"337",1,100,0.02,6,"glm",0.19,0.952577319587629
"338",1,100,0.02,6,"degree",0.1,0.94
"339",1,100,0.02,6,"mdmr",0.06,1
"340",1,100,0.04,6,"glm",0.603333333333333,0.952268041237113
"341",1,100,0.04,6,"degree",0.14,0.94
"342",1,100,0.04,6,"mdmr",0.66,1
"343",1,100,0.06,6,"glm",0.93,0.952474226804124
"344",1,100,0.06,6,"degree",0.14,0.94
"345",1,100,0.06,6,"mdmr",0.96,1
"346",1,100,0.08,6,"glm",0.993333333333333,0.952061855670103
"347",1,100,0.08,6,"degree",0.16,0.94
"348",1,100,0.08,6,"mdmr",1,1
"349",1,100,0.1,6,"glm",1,0.952164948453608
"350",1,100,0.1,6,"degree",0.26,0.92
"351",1,100,0.1,6,"mdmr",1,1
"352",1,100,0.15,6,"glm",1,0.952061855670103
"353",1,100,0.15,6,"degree",0.46,0.96
"354",1,100,0.15,6,"mdmr",1,1
"355",1,100,0.2,6,"glm",1,0.952371134020619
"356",1,100,0.2,6,"degree",0.56,0.9
"357",1,100,0.2,6,"mdmr",1,1
"358",1,100,0.3,6,"glm",1,0.952164948453608
"359",1,100,0.3,6,"degree",0.68,0.96
"360",1,100,0.3,6,"mdmr",1,1
"361",1,100,0.02,8,"glm",0.1525,0.952395833333333
"362",1,100,0.02,8,"degree",0.06,0.94
"363",1,100,0.02,8,"mdmr",0.08,1
"364",1,100,0.04,8,"glm",0.58,0.952395833333333
"365",1,100,0.04,8,"degree",0.22,0.96
"366",1,100,0.04,8,"mdmr",0.7,1
"367",1,100,0.06,8,"glm",0.91,0.951875
"368",1,100,0.06,8,"degree",0.06,0.9
"369",1,100,0.06,8,"mdmr",1,1
"370",1,100,0.08,8,"glm",1,0.952708333333333
"371",1,100,0.08,8,"degree",0.16,0.94
"372",1,100,0.08,8,"mdmr",1,1
"373",1,100,0.1,8,"glm",1,0.952083333333333
"374",1,100,0.1,8,"degree",0.34,0.9
"375",1,100,0.1,8,"mdmr",1,1
"376",1,100,0.15,8,"glm",1,0.951979166666667
"377",1,100,0.15,8,"degree",0.28,0.9
"378",1,100,0.15,8,"mdmr",1,1
"379",1,100,0.2,8,"glm",1,0.9525
"380",1,100,0.2,8,"degree",0.38,0.94
"381",1,100,0.2,8,"mdmr",1,1
"382",1,100,0.3,8,"glm",1,0.952708333333333
"383",1,100,0.3,8,"degree",0.72,0.9
"384",1,100,0.3,8,"mdmr",1,1
"385",1,100,0.02,10,"glm",0.19,0.951894736842105
"386",1,100,0.02,10,"degree",0.1,0.94
"387",1,100,0.02,10,"mdmr",0.32,1
"388",1,100,0.04,10,"glm",0.56,0.952631578947368
"389",1,100,0.04,10,"degree",0.12,0.94
"390",1,100,0.04,10,"mdmr",0.88,1
"391",1,100,0.06,10,"glm",0.914,0.952631578947368
"392",1,100,0.06,10,"degree",0.22,0.98
"393",1,100,0.06,10,"mdmr",1,1
"394",1,100,0.08,10,"glm",0.994,0.953052631578947
"395",1,100,0.08,10,"degree",0.26,0.96
"396",1,100,0.08,10,"mdmr",1,1
"397",1,100,0.1,10,"glm",1,0.951473684210526
"398",1,100,0.1,10,"degree",0.18,0.94
"399",1,100,0.1,10,"mdmr",1,1
"400",1,100,0.15,10,"glm",1,0.952842105263158
"401",1,100,0.15,10,"degree",0.58,0.94
"402",1,100,0.15,10,"mdmr",1,1
"403",1,100,0.2,10,"glm",1,0.952105263157895
"404",1,100,0.2,10,"degree",0.64,0.94
"405",1,100,0.2,10,"mdmr",1,1
"406",1,100,0.3,10,"glm",1,0.952
