"","iteration","subjects","effect.size","connections","method","sensitivity","specificity"
"161",1,24,0.15,14,"degree",1,0.94
"162",1,24,0.15,14,"mdmr",1,1
"163",1,24,0.2,14,"glm",1,0.950967741935484
"164",1,24,0.2,14,"degree",1,0.96
"165",1,24,0.2,14,"mdmr",1,0.98
"166",1,24,0.3,14,"glm",1,0.951720430107527
"167",1,24,0.3,14,"degree",1,0.94
"168",1,24,0.3,14,"mdmr",1,0.98
"169",1,50,0.02,1,"glm",0.1,0.946934673366834
"170",1,50,0.02,1,"degree",0.06,0.92
"171",1,50,0.02,1,"mdmr",0.02,0.9
"172",1,50,0.04,1,"glm",0.34,0.946834170854271
"173",1,50,0.04,1,"degree",0.06,0.96
"174",1,50,0.04,1,"mdmr",0.14,0.96
"175",1,50,0.06,1,"glm",0.52,0.946934673366834
"176",1,50,0.06,1,"degree",0.02,0.9
"177",1,50,0.06,1,"mdmr",0.08,0.94
"178",1,50,0.08,1,"glm",0.8,0.94713567839196
"179",1,50,0.08,1,"degree",0.04,0.94
"180",1,50,0.08,1,"mdmr",0.18,0.92
"181",1,50,0.1,1,"glm",0.98,0.947035175879397
"182",1,50,0.1,1,"degree",0.02,0.9
"183",1,50,0.1,1,"mdmr",0.34,0.96
"184",1,50,0.15,1,"glm",1,0.947035175879397
"185",1,50,0.15,1,"degree",0.04,0.92
"186",1,50,0.15,1,"mdmr",0.78,0.96
"187",1,50,0.2,1,"glm",1,0.946834170854271
"188",1,50,0.2,1,"degree",0.08,0.92
"189",1,50,0.2,1,"mdmr",1,0.96
"190",1,50,0.3,1,"glm",1,0.947336683417085
"191",1,50,0.3,1,"degree",0.18,0.9
"192",1,50,0.3,1,"mdmr",1,0.92
"193",1,50,0.02,2,"glm",0.07,0.947070707070707
"194",1,50,0.02,2,"degree",0.04,0.92
"195",1,50,0.02,2,"mdmr",0.06,0.92
"196",1,50,0.04,2,"glm",0.38,0.946868686868687
"197",1,50,0.04,2,"degree",0.04,0.94
"198",1,50,0.04,2,"mdmr",0.08,0.9
"199",1,50,0.06,2,"glm",0.82,0.946969696969697
"200",1,50,0.06,2,"degree",0.08,0.92
"201",1,50,0.06,2,"mdmr",0.32,0.96
"202",1,50,0.08,2,"glm",0.88,0.946868686868687
"203",1,50,0.08,2,"degree",0.08,0.96
"204",1,50,0.08,2,"mdmr",0.44,0.98
"205",1,50,0.1,2,"glm",1,0.946666666666667
"206",1,50,0.1,2,"degree",0.1,0.94
"207",1,50,0.1,2,"mdmr",0.7,0.98
"208",1,50,0.15,2,"glm",1,0.947171717171717
"209",1,50,0.15,2,"degree",0.2,0.94
"210",1,50,0.15,2,"mdmr",1,0.94
"211",1,50,0.2,2,"glm",1,0.946868686868687
"212",1,50,0.2,2,"degree",0.28,0.92
"213",1,50,0.2,2,"mdmr",1,0.9
"214",1,50,0.3,2,"glm",1,0.947070707070707
"215",1,50,0.3,2,"degree",0.56,0.98
"216",1,50,0.3,2,"mdmr",1,0.96
"217",1,50,0.02,4,"glm",0.15,0.947755102040816
"218",1,50,0.02,4,"degree",0.04,0.96
"219",1,50,0.02,4,"mdmr",0.1,0.94
"220",1,50,0.04,4,"glm",0.305,0.946938775510204
"221",1,50,0.04,4,"degree",0.04,0.96
"222",1,50,0.04,4,"mdmr",0.18,0.92
"223",1,50,0.06,4,"glm",0.625,0.947244897959184
"224",1,50,0.06,4,"degree",0.06,0.92
"225",1,50,0.06,4,"mdmr",0.42,0.94
"226",1,50,0.08,4,"glm",0.885,0.946836734693878
"227",1,50,0.08,4,"degree",0.18,0.9
"228",1,50,0.08,4,"mdmr",0.68,0.92
"229",1,50,0.1,4,"glm",0.99,0.947755102040816
"230",1,50,0.1,4,"degree",0.4,0.92
"231",1,50,0.1,4,"mdmr",0.94,0.96
"232",1,50,0.15,4,"glm",1,0.94734693877551
"233",1,50,0.15,4,"degree",0.7,0.92
"234",1,50,0.15,4,"mdmr",1,0.92
"235",1,50,0.2,4,"glm",1,0.94734693877551
"236",1,50,0.2,4,"degree",0.8,0.96
"237",1,50,0.2,4,"mdmr",1,0.98
"238",1,50,0.3,4,"glm",1,0.94734693877551
"239",1,50,0.3,4,"degree",1,0.88
"240",1,50,0.3,4,"mdmr",1,0.92
"241",1,50,0.02,6,"glm",0.113333333333333,0.947010309278351
"242",1,50,0.02,6,"degree",0.04,0.9
"243",1,50,0.02,6,"mdmr",0.14,0.96
"244",1,50,0.04,6,"glm",0.36,0.947525773195876
"245",1,50,0.04,6,"degree",0.12,0.9
"246",1,50,0.04,6,"mdmr",0.22,0.96
"247",1,50,0.06,6,"glm",0.69,0.946907216494845
"248",1,50,0.06,6,"degree",0.3,0.94
"249",1,50,0.06,6,"mdmr",0.46,0.92
"250",1,50,0.08,6,"glm",0.883333333333333,0.947422680412371
"251",1,50,0.08,6,"degree",0.48,0.94
"252",1,50,0.08,6,"mdmr",0.9,0.92
"253",1,50,0.1,6,"glm",0.98,0.947113402061856
"254",1,50,0.1,6,"degree",0.66,0.94
"255",1,50,0.1,6,"mdmr",1,0.92
"256",1,50,0.15,6,"glm",1,0.946907216494845
"257",1,50,0.15,6,"degree",0.94,0.92
"258",1,50,0.15,6,"mdmr",1,0.94
"259",1,50,0.2,6,"glm",1,0.947010309278351
"260",1,50,0.2,6,"degree",1,0.96
"261",1,50,0.2,6,"mdmr",1,0.94
"262",1,50,0.3,6,"glm",1,0.947010309278351
"263",1,50,0.3,6,"degree",1,0.98
"264",1,50,0.3,6,"mdmr",1,0.94
"265",1,50,0.02,8,"glm",0.12,0.946875
"266",1,50,0.02,8,"degree",0.06,0.92
"267",1,50,0.02,8,"mdmr",0.1,0.96
"268",1,50,0.04,8,"glm",0.375,0.947604166666667
"269",1,50,0.04,8,"degree",0.2,0.96
"270",1,50,0.04,8,"mdmr",0.36,0.92
"271",1,50,0.06,8,"glm",0.6275,0.947604166666667
"272",1,50,0.06,8,"degree",0.5,0.94
"273",1,50,0.06,8,"mdmr",0.56,0.92
"274",1,50,0.08,8,"glm",0.9025,0.947083333333333
"275",1,50,0.08,8,"degree",0.72,0.92
"276",1,50,0.08,8,"mdmr",0.92,0.94
"277",1,50,0.1,8,"glm",0.975,0.9475
"278",1,50,0.1,8,"degree",0.9,0.94
"279",1,50,0.1,8,"mdmr",1,0.9
"280",1,50,0.15,8,"glm",1,0.947291666666667
"281",1,50,0.15,8,"degree",1,0.94
"282",1,50,0.15,8,"mdmr",1,0.94
"283",1,50,0.2,8,"glm",1,0.947291666666667
"284",1,50,0.2,8,"degree",1,0.92
"285",1,50,0.2,8,"mdmr",1,0.92
"286",1,50,0.3,8,"glm",1,0.947916666666667
"287",1,50,0.3,8,"degree",1,0.94
"288",1,50,0.3,8,"mdmr",1,0.96
"289",1,50,0.02,10,"glm",0.138,0.947368421052632
"290",1,50,0.02,10,"degree",0.12,0.94
"291",1,50,0.02,10,"mdmr",0.1,0.92
"292",1,50,0.04,10,"glm",0.316,0.947263157894737
"293",1,50,0.04,10,"degree",0.44,0.92
"294",1,50,0.04,10,"mdmr",0.28,0.92
"295",1,50,0.06,10,"glm",0.674,0.947578947368421
"296",1,50,0.06,10,"degree",0.78,0.9
"297",1,50,0.06,10,"mdmr",0.64,0.94
"298",1,50,0.08,10,"glm",0.896,0.947368421052632
"299",1,50,0.08,10,"degree",0.9,0.92
"300",1,50,0.08,10,"mdmr",0.98,0.94
"301",1,50,0.1,10,"glm",0.982,0.947578947368421
"302",1,50,0.1,10,"degree",0.94,0.94
"303",1,50,0.1,10,"mdmr",1,0.92
"304",1,50,0.15,10,"glm",1,0.946947368421053
"305",1,50,0.15,10,"degree",1,0.92
"306",1,50,0.15,10,"mdmr",1,0.98
"307",1,50,0.2,10,"glm",1,0.94821052631579
"308",1,50,0.2,10,"degree",1,0.94
"309",1,50,0.2,10,"mdmr",1,0.92
"310",1,50,0.3,10,"glm",1,0.947263157894737
"311",1,50,0.3,10,"degree",1,0.92
"312",1,50,0.3,10,"mdmr",1,0.94
"313",1,50,0.02,14,"glm",0.124285714285714,0.94741935483871
"314",1,50,0.02,14,"degree",0.1,0.98
"315",1,50,0.02,14,"mdmr",0.14,0.98
"316",1,50,0.04,14,"glm",0.348571428571429,0.947096774193548
"317",1,50,0.04,14,"degree",0.64,0.96
"318",1,50,0.04,14,"mdmr",0.26,0.96
"319",1,50,0.06,14,"glm",0.681428571428571,0.94741935483871
"320",1,50,0.06,14,"degree",0.96,0.88
"321",1,50,0.06,14,"mdmr",0.74,0.96
"322",1,50,0.08,14,"glm",0.888571428571429,0.946666666666667
"323",1,50,0.08,14,"degree",0.98,0.92
"324",1,50,0.08,14,"mdmr",0.98,0.94
"325",1,50,0.1,14,"glm",0.98,0.947311827956989
"326",1,50,0.1,14,"degree",1,0.92
"327",1,50,0.1,14,"mdmr",1,0.92
"328",1,50,0.15,14,"glm",1,0.947311827956989
"329",1,50,0.15,14,"degree",1,0.96
"330",1,50,0.15,14,"mdmr",1,0.96
"331",1,50,0.2,14,"glm",1,0.947741935483871
"332",1,50,0.2,14,"degree",1,0.9
"333",1,50,0.2,14,"mdmr",1,0.86
"334",1,50,0.3,14,"glm",1,0.948387096774194
"335",1,50,0.3,14,"degree",1,0.94
"336",1,50,0.3,14,"mdmr",1,0.94
"337",1,100,0.02,1,"glm",0.22,0.945125628140704
"338",1,100,0.02,1,"degree",0.02,0.96
"339",1,100,0.02,1,"mdmr",0.1,0.9
"340",1,100,0.04,1,"glm",0.54,0.945125628140704
"341",1,100,0.04,1,"degree",0.02,0.94
"342",1,100,0.04,1,"mdmr",0.14,0.9
"343",1,100,0.06,1,"glm",0.9,0.945326633165829
"344",1,100,0.06,1,"degree",0.02,0.96
"345",1,100,0.06,1,"mdmr",0.2,0.88
"346",1,100,0.08,1,"glm",1,0.945326633165829
"347",1,100,0.08,1,"degree",0.06,0.96
"348",1,100,0.08,1,"mdmr",0.44,0.88
"349",1,100,0.1,1,"glm",1,0.945025125628141
"350",1,100,0.1,1,"degree",0.1,1
"351",1,100,0.1,1,"mdmr",0.66,0.86
"352",1,100,0.15,1,"glm",1,0.945025125628141
"353",1,100,0.15,1,"degree",0.16,0.98
"354",1,100,0.15,1,"mdmr",0.98,0.9
"355",1,100,0.2,1,"glm",1,0.945025125628141
"356",1,100,0.2,1,"degree",0.2,1
"357",1,100,0.2,1,"mdmr",1,0.9
"358",1,100,0.3,1,"glm",1,0.945025125628141
"359",1,100,0.3,1,"degree",0.4,0.94
"360",1,100,0.3,1,"mdmr",1,0.92
"361",1,100,0.02,2,"glm",0.17,0.944949494949495
"362",1,100,0.02,2,"degree",0.02,0.98
"363",1,100,0.02,2,"mdmr",0.06,0.86
"364",1,100,0.04,2,"glm",0.51,0.945252525252525
"365",1,100,0.04,2,"degree",0.06,0.94
"366",1,100,0.04,2,"mdmr",0.2,0.94
"367",1,100,0.06,2,"glm",0.89,0.945555555555556
"368",1,100,0.06,2,"degree",0.06,0.98
"369",1,100,0.06,2,"mdmr",0.5,0.94
"370",1,100,0.08,2,"glm",0.99,0.945555555555556
"371",1,100,0.08,2,"degree",0.12,0.96
"372",1,100,0.08,2,"mdmr",0.82,0.92
"373",1,100,0.1,2,"glm",1,0.945050505050505
"374",1,100,0.1,2,"degree",0.24,0.96
"375",1,100,0.1,2,"mdmr",1,0.86
"376",1,100,0.15,2,"glm",1,0.945252525252525
"377",1,100,0.15,2,"degree",0.36,0.94
"378",1,100,0.15,2,"mdmr",1,0.88
"379",1,100,0.2,2,"glm",1,0.945151515151515
"380",1,100,0.2,2,"degree",0.54,0.96
"381",1,100,0.2,2,"mdmr",1,0.9
"382",1,100,0.3,2,"glm",1,0.945252525252525
"383",1,100,0.3,2,"degree",0.92,0.92
"384",1,100,0.3,2,"mdmr",1,0.94
"385",1,100,0.02,4,"glm",0.255,0.945408163265306
"386",1,100,0.02,4,"degree",0.08,0.94
"387",1,100,0.02,4,"mdmr",0.12,0.92
"388",1,100,0.04,4,"glm",0.645,0.945408163265306
"389",1,100,0.04,4,"degree",0.14,0.96
"390",1,100,0.04,4,"mdmr",0.36,0.88
"391",1,100,0.06,4,"glm",0.885,0.946020408163265
"392",1,100,0.06,4,"degree",0.26,0.96
"393",1,100,0.06,4,"mdmr",0.7,0.94
"394",1,100,0.08,4,"glm",1,0.945204081632653
"395",1,100,0.08,4,"degree",0.36,0.96
"396",1,100,0.08,4,"mdmr",0.98,0.86
"397",1,100,0.1,4,"glm",1,0.945408163265306
"398",1,100,0.1,4,"degree",0.58,0.98
"399",1,100,0.1,4,"mdmr",1,0.88
"400",1,100,0.15,4,"glm",1,0.945
"401",1,100,0.15,4,"degree",0.92,0.96
"402",1,100,0.15,4,"mdmr",1,0.88
"403",1,100,0.2,4,"glm",1,0.945408163265306
"404",1,100,0.2,4,"degree",0.98,0.96
"405",1,100,0.2,4,"mdmr",1,0.86
"406",1,100,0.3,4,"glm",1,0.94530612244898
"407",1,100,0.3,4,"degree",1,0.96
"408",1,100,0.3,4,"mdmr",1,0.9
"409",1,100,0.02,6,"glm",0.256666666666667,0.945257731958763
"410",1,100,0.02,6,"degree",0.06,0.98
"411",1,100,0.02,6,"mdmr",0.18,0.92
"412",1,100,0.04,6,"glm",0.606666666666667,0.944536082474227
"413",1,100,0.04,6,"degree",0.3,0.94
"414",1,100,0.04,6,"mdmr",0.58,0.92
"415",1,100,0.06,6,"glm",0.916666666666667,0.945154639175258
"416",1,100,0.06,6,"degree",0.5,0.98
"417",1,100,0.06,6,"mdmr",0.98,0.92
"418",1,100,0.08,6,"glm",0.99,0.945051546391753
"419",1,100,0.08,6,"degree",0.7,0.96
"420",1,100,0.08,6,"mdmr",1,0.94
"421",1,100,0.1,6,"glm",1,0.944845360824742
"422",1,100,0.1,6,"degree",0.92,0.96
"423",1,100,0.1,6,"mdmr",1,0.94
"424",1,100,0.15,6,"glm",1,0.945567010309278
"425",1,100,0.15,6,"degree",0.98,0.98
"426",1,100,0.15,6,"mdmr",1,0.9
"427",1,100,0.2,6,"glm",1,0.945567010309278
"428",1,100,0.2,6,"degree",1,0.98
"429",1,100,0.2,6,"mdmr",1,0.88
"430",1,100,0.3,6,"glm",1,0.944948453608247
"431",1,100,0.3,6,"degree",1,0.92
"432",1,100,0.3,6,"mdmr",1,0.92
"433",1,100,0.02,8,"glm",0.2175,0.945833333333333
"434",1,100,0.02,8,"degree",0.2,0.96
"435",1,100,0.02,8,"mdmr",0.18,0.92
"436",1,100,0.04,8,"glm",0.58,0.945416666666667
"437",1,100,0.04,8,"degree",0.36,0.96
"438",1,100,0.04,8,"mdmr",0.58,0.9
"439",1,100,0.06,8,"glm",0.9025,0.945520833333333
"440",1,100,0.06,8,"degree",0.74,0.98
"441",1,100,0.06,8,"mdmr",0.94,0.96
"442",1,100,0.08,8,"glm",0.9975,0.945
"443",1,100,0.08,8,"degree",0.96,0.96
"444",1,100,0.08,8,"mdmr",1,0.92
"445",1,100,0.1,8,"glm",1,0.9453125
"446",1,100,0.1,8,"degree",0.98,0.94
"447",1,100,0.1,8,"mdmr",1,0.92
"448",1,100,0.15,8,"glm",1,0.9453125
"449",1,100,0.15,8,"degree",1,0.98
"450",1,100,0.15,8,"mdmr",1,0.88
"451",1,100,0.2,8,"glm",1,0.9453125
"452",1,100,0.2,8,"degree",1,0.96
"453",1,100,0.2,8,"mdmr",1,0.86
"454",1,100,0.3,8,"glm",1,0.945833333333333
"455",1,100,0.3,8,"degree",1,0.96
"456",1,100,0.3,8,"mdmr",1,0.9
"457",1,100,0.02,10,"glm",0.208,0.945157894736842
"458",1,100,0.02,10,"degree",0.2,0.94
"459",1,100,0.02,10,"mdmr",0.24,0.94
"460",1,100,0.04,10,"glm",0.624,0.945157894736842
